time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
5.74,18300.501399232766,6500.0,130.71548022141235,-261.5435710766006,0.0,146.95223859642007
5.76,18295.279204624552,6500.0,133.66989718759447,-260.6743830823583,0.0,148.48860563905873
5.78,18290.07448407534,6500.0,136.654990174539,-259.79617021814573,0.0,150.01983182227696
5.8,18284.887417779,6500.0,139.67065583462983,-258.9089628887798,0.0,151.5458641331278
5.82,18279.718185318183,6500.0,142.71678976178717,-258.0127918104771,0.0,153.06664973848288
5.84,18274.56696565813,6500.0,145.79328649508182,-257.1076880097902,0.0,154.582135986861
5.86,18269.43393714044,6500.0,148.90003952238715,-256.19368282253345,0.0,156.09227041025167
5.88,18264.319277476912,6500.0,152.0369412840655,-255.27080789269857,0.0,157.59700072593066
5.9,18259.22316374341,6500.0,155.20388317669352,-254.33909517135837,0.0,159.09627483827117
5.92,18254.14577237369,6500.0,158.4007555568203,-253.39857691556125,0.0,160.59004084054646
5.94,18249.087279153337,6500.0,161.6274477447653,-252.44928568721392,0.0,162.07824701672783
5.96,18244.04785921365,6500.0,164.88384802844865,-251.4912543519544,0.0,163.56084184327423
5.98,18239.027687025584,6500.0,168.16984366726,-250.52451607801393,0.0,165.0377739909168
6.0,18234.026936393722,6500.0,171.48532089596048,-249.54910433506888,0.0,166.5089923264354
6.0200000000000005,18229.04578045024,6500.0,174.83016492862288,-248.56505289308163,0.0,167.97444591442934
6.04,18224.084391648932,6500.0,178.20425996260408,-247.57239582113186,0.0,169.43408401908042
6.0600000000000005,18219.142941759215,6500.0,181.60748918255558,-246.57116748623673,0.0,170.88785610590995
6.08,18214.22160186021,6500.0,185.0397347644668,-245.56140255216124,0.0,172.33571184352772
6.1000000000000005,18209.320542334794,6500.0,188.5008778797456,-244.54313597821778,0.0,173.77760110537517
6.12,18204.43993286372,6500.0,191.99079869933047,-243.51640301805634,0.0,175.21347397146022
6.140000000000001,18199.579942419732,6500.0,195.50937639784092,-242.4812392184434,0.0,176.64328073008616
6.16,18194.740739261717,6500.0,199.05648915775922,-241.43768041803182,0.0,178.06697187957218
6.18,18189.922490928886,6500.0,202.63201417364894,-240.38576274611958,0.0,179.4844981299675
6.2,18185.125364234955,6500.0,206.23582765640612,-239.32552262139916,0.0,180.89581040475804
6.22,18180.349525262398,6500.0,209.8678048375445,-238.25699675069683,0.0,182.3008598425648
6.24,18175.595139356672,6500.0,213.52781997351664,-237.1802221277014,0.0,183.69959779883632
6.26,18170.862371120507,6500.0,217.21574635006527,-236.09523603168398,0.0,185.09197584753215
6.28,18166.1513844082,6500.0,220.9314562866124,-235.00207602620677,0.0,186.4779457828001
6.3,18161.46234231994,6500.0,224.6748211406781,-233.9007799578231,0.0,187.8574596206444
6.32,18156.79540719618,6500.0,228.4457113123355,-232.79138595476655,0.0,189.23046960058764
6.34,18152.150740611985,6500.0,232.24399624869648,-231.67393242563162,0.0,190.59692818732384
6.36,18147.52850337147,6500.0,236.06954444843308,-230.5484580580432,0.0,191.9567880723646
6.38,18142.928855502214,6500.0,239.9222234663284,-229.41500181731791,0.0,193.3100021756764
6.4,18138.351956249717,6500.0,243.80189991786412,-228.27360294511433,0.0,194.65652364731136
6.42,18133.797964071902,6500.0,247.70843948383623,-227.1243009580751,0.0,195.99630586902833
6.44,18129.267036633617,6500.0,251.64170691500743,-225.96713564645827,0.0,197.32930245590777
